cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1534795059789,0,0,load,/,{},{},20180820215445,"Mon, 20 Aug 2018 21:54:45 +0200","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",1440x900,1382x716,1367x1757,n27hspfdrtq0hii9tgfoinssh2-native-top_left,n27hspfdrtq0hii9tgfoinssh2,0,2
0,1534795062384,462,475,mousemove,//*[@id='rso']/div[1]/div/table/tbody/tr[2]/td/div,{},"{""topRight"":469,""topLeft"":502,""bottomRight"":330,""bottomLeft"":375,""middle"":274,""inTarget"":false}",20180820215445,"Mon, 20 Aug 2018 21:54:45 +0200","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",1440x900,1382x716,1367x1757,n27hspfdrtq0hii9tgfoinssh2-native-top_left,n27hspfdrtq0hii9tgfoinssh2,0,2
0,1534795062535,684,205,mousemove,//*[@id='tads']/ol/li,{},"{""topRight"":121,""topLeft"":566,""bottomRight"":116,""bottomLeft"":565,""middle"":248,""inTarget"":true}",20180820215445,"Mon, 20 Aug 2018 21:54:45 +0200","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",1440x900,1382x716,1367x1757,n27hspfdrtq0hii9tgfoinssh2-native-top_left,n27hspfdrtq0hii9tgfoinssh2,0,2
0,1534795062700,781,14,mousemove,//*[@id='tsf']/div[2],{},"{""topRight"":94,""topLeft"":659,""bottomRight"":292,""bottomLeft"":714,""middle"":393,""inTarget"":false}",20180820215445,"Mon, 20 Aug 2018 21:54:45 +0200","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",1440x900,1382x716,1367x1757,n27hspfdrtq0hii9tgfoinssh2-native-top_left,n27hspfdrtq0hii9tgfoinssh2,0,2
0,1534795063893,0,0,beforeunload,/,{},{},20180820215445,"Mon, 20 Aug 2018 21:54:45 +0200","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",1440x900,1382x716,1367x1757,n27hspfdrtq0hii9tgfoinssh2-native-top_left,n27hspfdrtq0hii9tgfoinssh2,0,2
0,1534795063895,0,0,unload,/,{},{},20180820215445,"Mon, 20 Aug 2018 21:54:45 +0200","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",1440x900,1382x716,1367x1757,n27hspfdrtq0hii9tgfoinssh2-native-top_left,n27hspfdrtq0hii9tgfoinssh2,0,2
