cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1516293724139,0,0,load,/,{},{},20180118173959,"Thu, 18 Jan 2018 17:39:59 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",1280x800,1280x694,1263x1889,ven1ovjd446jeer1darq71d120-native-top_left,ven1ovjd446jeer1darq71d120,0,5
0,1516293727047,1023,5,mouseover,//*[@id='searchform']/div/div,{},"{""topRight"":295,""topLeft"":900,""bottomRight"":395,""bottomLeft"":937,""middle"":616,""inTarget"":false}",20180118173959,"Thu, 18 Jan 2018 17:39:59 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",1280x800,1280x694,1263x1889,ven1ovjd446jeer1darq71d120-native-top_left,ven1ovjd446jeer1darq71d120,0,5
0,1516293728009,1062,29,mousemove,//*[@id='searchform']/div/div,{},"{""topRight"":326,""topLeft"":937,""bottomRight"":408,""bottomLeft"":968,""middle"":647,""inTarget"":false}",20180118173959,"Thu, 18 Jan 2018 17:39:59 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",1280x800,1280x694,1263x1889,ven1ovjd446jeer1darq71d120-native-top_left,ven1ovjd446jeer1darq71d120,0,5
0,1516293728426,1278,108,mousemove,/html,{},"{""topRight"":534,""topLeft"":1150,""bottomRight"":562,""bottomLeft"":1163,""middle"":846,""inTarget"":false}",20180118173959,"Thu, 18 Jan 2018 17:39:59 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",1280x800,1280x694,1263x1889,ven1ovjd446jeer1darq71d120-native-top_left,ven1ovjd446jeer1darq71d120,0,5
0,1516293728762,1273,110,mousedown,/html,{},"{""topRight"":529,""topLeft"":1145,""bottomRight"":557,""bottomLeft"":1158,""middle"":841,""inTarget"":false}",20180118173959,"Thu, 18 Jan 2018 17:39:59 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",1280x800,1280x694,1263x1889,ven1ovjd446jeer1darq71d120-native-top_left,ven1ovjd446jeer1darq71d120,0,5
0,1516293728929,0,0,scroll,/,{},{},20180118173959,"Thu, 18 Jan 2018 17:39:59 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",1280x800,1280x694,1263x1889,ven1ovjd446jeer1darq71d120-native-top_left,ven1ovjd446jeer1darq71d120,0,5
0,1516293729139,0,0,scroll,/,{},{},20180118173959,"Thu, 18 Jan 2018 17:39:59 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",1280x800,1280x694,1263x1889,ven1ovjd446jeer1darq71d120-native-top_left,ven1ovjd446jeer1darq71d120,0,5
0,1516293729215,1273,152,mouseup,/html,{},"{""topRight"":532,""topLeft"":1146,""bottomRight"":545,""bottomLeft"":1153,""middle"":838,""inTarget"":false}",20180118173959,"Thu, 18 Jan 2018 17:39:59 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",1280x800,1280x694,1263x1889,ven1ovjd446jeer1darq71d120-native-top_left,ven1ovjd446jeer1darq71d120,0,5
0,1516293729464,1273,152,mousedown,/html,{},"{""topRight"":532,""topLeft"":1146,""bottomRight"":545,""bottomLeft"":1153,""middle"":838,""inTarget"":false}",20180118173959,"Thu, 18 Jan 2018 17:39:59 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",1280x800,1280x694,1263x1889,ven1ovjd446jeer1darq71d120-native-top_left,ven1ovjd446jeer1darq71d120,0,5
0,1516293729632,1273,152,mouseup,/html,{},"{""topRight"":532,""topLeft"":1146,""bottomRight"":545,""bottomLeft"":1153,""middle"":838,""inTarget"":false}",20180118173959,"Thu, 18 Jan 2018 17:39:59 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",1280x800,1280x694,1263x1889,ven1ovjd446jeer1darq71d120-native-top_left,ven1ovjd446jeer1darq71d120,0,5
