cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1489178162080,0,0,load,/,{},{},20170310213418,"Fri, 10 Mar 2017 21:34:18 +0100","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x662,1349x1992,4f5s2768dma5lla5tan3phrj47-dd-top_left,4f5s2768dma5lla5tan3phrj47,0,5
0,1489178162476,318,356,mousemove,//*[@id='rso']/div[1]/div[1]/div/h3/a,{},"{""topRight"":494,""topLeft"":314,""bottomRight"":427,""bottomLeft"":193,""middle"":185,""inTarget"":false}",20170310213418,"Fri, 10 Mar 2017 21:34:18 +0100","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x662,1349x1992,4f5s2768dma5lla5tan3phrj47-dd-top_left,4f5s2768dma5lla5tan3phrj47,0,5
0,1489178162629,318,348,mousedown,//*[@id='rso']/div[1]/div[1]/div/h3/a,{},"{""topRight"":490,""topLeft"":308,""bottomRight"":427,""bottomLeft"":192,""middle"":179,""inTarget"":false}",20170310213418,"Fri, 10 Mar 2017 21:34:18 +0100","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x662,1349x1992,4f5s2768dma5lla5tan3phrj47-dd-top_left,4f5s2768dma5lla5tan3phrj47,0,5
0,1489178162708,318,348,mouseup,//*[@id='rso']/div[1]/div[1]/div/h3/a,{},"{""topRight"":490,""topLeft"":308,""bottomRight"":427,""bottomLeft"":192,""middle"":179,""inTarget"":false}",20170310213418,"Fri, 10 Mar 2017 21:34:18 +0100","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x662,1349x1992,4f5s2768dma5lla5tan3phrj47-dd-top_left,4f5s2768dma5lla5tan3phrj47,0,5
0,1489178162709,318,348,click,//*[@id='rso']/div[1]/div[1]/div/h3/a,{},"{""topRight"":490,""topLeft"":308,""bottomRight"":427,""bottomLeft"":192,""middle"":179,""inTarget"":false}",20170310213418,"Fri, 10 Mar 2017 21:34:18 +0100","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x662,1349x1992,4f5s2768dma5lla5tan3phrj47-dd-top_left,4f5s2768dma5lla5tan3phrj47,0,5
0,1489178162715,0,0,beforeunload,/,{},{},20170310213418,"Fri, 10 Mar 2017 21:34:18 +0100","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x662,1349x1992,4f5s2768dma5lla5tan3phrj47-dd-top_left,4f5s2768dma5lla5tan3phrj47,0,5
0,1489178162901,319,348,mousemove,//*[@id='rso']/div[1]/div[1]/div/h3/a,{},"{""topRight"":489,""topLeft"":308,""bottomRight"":426,""bottomLeft"":193,""middle"":178,""inTarget"":false}",20170310213418,"Fri, 10 Mar 2017 21:34:18 +0100","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x662,1349x1992,4f5s2768dma5lla5tan3phrj47-dd-top_left,4f5s2768dma5lla5tan3phrj47,0,5
0,1489178163049,0,0,unload,/,{},{},20170310213418,"Fri, 10 Mar 2017 21:34:18 +0100","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x662,1349x1992,4f5s2768dma5lla5tan3phrj47-dd-top_left,4f5s2768dma5lla5tan3phrj47,0,5
