cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1532142643774,16,684,mousemove,//*[@id='rhscol'],{},"{""topRight"":1357,""topLeft"":966,""bottomRight"":1228,""bottomLeft"":775,""middle"":1037,""inTarget"":false}",20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142643940,123,653,mouseover,//*[@id='center_col'],{},"{""topRight"":1247,""topLeft"":863,""bottomRight"":1123,""bottomLeft"":670,""middle"":926,""inTarget"":false}",20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142644090,174,622,mouseover,//*[@id='rso'],{},"{""topRight"":1188,""topLeft"":804,""bottomRight"":1074,""bottomLeft"":623,""middle"":869,""inTarget"":false}",20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142644256,193,597,mousemove,//*[@id='rso'],{},"{""topRight"":1160,""topLeft"":773,""bottomRight"":1058,""bottomLeft"":609,""middle"":845,""inTarget"":false}",20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142644788,195,590,mousemove,//*[@id='rso']/div[2]/div/a/span,{},"{""topRight"":1155,""topLeft"":767,""bottomRight"":1057,""bottomLeft"":609,""middle"":841,""inTarget"":false}",20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142645086,198,601,mousemove,//*[@id='rso'],{},"{""topRight"":1157,""topLeft"":772,""bottomRight"":1053,""bottomLeft"":603,""middle"":841,""inTarget"":false}",20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142645236,202,618,mousemove,//*[@id='rso'],{},"{""topRight"":1161,""topLeft"":780,""bottomRight"":1047,""bottomLeft"":596,""middle"":841,""inTarget"":false}",20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142645436,205,630,mousemove,//*[@id='rso']/div[3]/div/div[1]/div/h3/a,{},"{""topRight"":1164,""topLeft"":785,""bottomRight"":1043,""bottomLeft"":592,""middle"":841,""inTarget"":false}",20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142645681,206,632,mousedown,//*[@id='rso']/div[3]/div/div[1]/div/h3/a,{},"{""topRight"":1164,""topLeft"":786,""bottomRight"":1042,""bottomLeft"":590,""middle"":840,""inTarget"":false}",20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142645846,206,632,mouseup,//*[@id='rso']/div[3]/div/div[1]/div/h3/a,{},"{""topRight"":1164,""topLeft"":786,""bottomRight"":1042,""bottomLeft"":590,""middle"":840,""inTarget"":false}",20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142645848,0,0,beforeunload,/,{},{},20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142645849,206,632,click,//*[@id='rso']/div[3]/div/div[1]/div/h3/a,{},"{""topRight"":1164,""topLeft"":786,""bottomRight"":1042,""bottomLeft"":590,""middle"":840,""inTarget"":false}",20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142646048,0,0,unload,/,{},{},20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
