cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,xpos_scaled,ypos_scaled,timestamp_diff,speed,acceleration,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1538395732776,0,0,load,/,{},{},0.0,0.0,1.0,0.0,0.0,20181001133558,"Mon, 01 Oct 2018 13:35:58 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1633,p0ocffs455563fp6k34quufdr6-dd-top_right,p0ocffs455563fp6k34quufdr6,0,5
0,1538395733332,723,471,mousemove,//*[@id='irl_r_a'],{},"{""topRight"":636,""topLeft"":371,""bottomRight"":566,""bottomLeft"":232,""middle"":415,""inTarget"":false}",0.5292825768667643,0.7168949771689498,556.0,1.5519508935547488,1.5519508935547488,20181001133558,"Mon, 01 Oct 2018 13:35:58 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1633,p0ocffs455563fp6k34quufdr6-dd-top_right,p0ocffs455563fp6k34quufdr6,0,5
0,1538395733498,521,215,mouseover,//*[@id='rso']/div[1],{},"{""topRight"":731,""topLeft"":290,""bottomRight"":724,""bottomLeft"":271,""middle"":497,""inTarget"":false}",0.3814055636896047,0.3272450532724505,166.0,1.9644466550337318,0.41249576147898304,20181001133558,"Mon, 01 Oct 2018 13:35:58 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1633,p0ocffs455563fp6k34quufdr6-dd-top_right,p0ocffs455563fp6k34quufdr6,0,5
0,1538395733663,439,5,mouseover,//*[@id='searchform']/div/div,{},"{""topRight"":811,""topLeft"":365,""bottomRight"":841,""bottomLeft"":427,""middle"":603,""inTarget"":false}",0.3213762811127379,0.0076103500761035,165.0,1.3663138696690282,-0.5981327853647036,20181001133558,"Mon, 01 Oct 2018 13:35:58 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1633,p0ocffs455563fp6k34quufdr6-dd-top_right,p0ocffs455563fp6k34quufdr6,0,5
0,1538395734024,0,0,blur,/,{},{},0.0,0.0,361.0,1.216145354240294,-0.15016851542873422,20181001133558,"Mon, 01 Oct 2018 13:35:58 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1633,p0ocffs455563fp6k34quufdr6-dd-top_right,p0ocffs455563fp6k34quufdr6,0,5
0,1538395738767,0,0,focus,/,{},{},0.0,0.0,4743.0,0.0,-1.216145354240294,20181001133558,"Mon, 01 Oct 2018 13:35:58 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1633,p0ocffs455563fp6k34quufdr6-dd-top_right,p0ocffs455563fp6k34quufdr6,0,5
0,1538395739054,552,34,mouseover,//*[@id='lst-ib'],{},"{""topRight"":696,""topLeft"":249,""bottomRight"":725,""bottomLeft"":321,""middle"":487,""inTarget"":false}",0.404099560761347,0.0517503805175038,287.0,1.9269899309872978,1.9269899309872978,20181001133558,"Mon, 01 Oct 2018 13:35:58 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1633,p0ocffs455563fp6k34quufdr6-dd-top_right,p0ocffs455563fp6k34quufdr6,0,5
0,1538395739219,756,388,mousemove,//*[@id='rcnt'],{},"{""topRight"":564,""topLeft"":284,""bottomRight"":507,""bottomLeft"":143,""middle"":335,""inTarget"":false}",0.5534407027818448,0.5905631659056316,165.0,2.47620076890665,0.5492108379193521,20181001133558,"Mon, 01 Oct 2018 13:35:58 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1633,p0ocffs455563fp6k34quufdr6-dd-top_right,p0ocffs455563fp6k34quufdr6,0,5
0,1538395740054,755,389,mousemove,//*[@id='rcnt'],{},"{""topRight"":565,""topLeft"":285,""bottomRight"":509,""bottomLeft"":144,""middle"":337,""inTarget"":false}",0.5527086383601757,0.5920852359208524,835.0,0.0016936689369737665,-2.474507099969676,20181001133558,"Mon, 01 Oct 2018 13:35:58 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1633,p0ocffs455563fp6k34quufdr6-dd-top_right,p0ocffs455563fp6k34quufdr6,0,5
0,1538395740205,576,262,mouseover,//*[@id='rso']/div[1]/div[2]/div/div/div/div[1]/cite,{},"{""topRight"":686,""topLeft"":265,""bottomRight"":668,""bottomLeft"":214,""middle"":449,""inTarget"":false}",0.4216691068814056,0.3987823439878234,151.0,1.4534877499251557,1.451794080988182,20181001133558,"Mon, 01 Oct 2018 13:35:58 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1633,p0ocffs455563fp6k34quufdr6-dd-top_right,p0ocffs455563fp6k34quufdr6,0,5
