cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,xpos_scaled,ypos_scaled,timestamp_diff,speed,acceleration,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1488320579689,0,0,load,/,{},{},0.0,0.0,1.0,0.0,0.0,20170228232133,"Tue, 28 Feb 2017 23:21:33 +0100",Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MAARJS; rv:11.0) like Gecko,1600x900,1600x805,1583x1686,qfgdtpfr8gainhiu0k1mqqvla5-dd-top_right,qfgdtpfr8gainhiu0k1mqqvla5,0,5
0,1488320579690,0,0,focus,/,{},{},0.0,0.0,1.0,0.0,0.0,20170228232133,"Tue, 28 Feb 2017 23:21:33 +0100",Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MAARJS; rv:11.0) like Gecko,1600x900,1600x805,1583x1686,qfgdtpfr8gainhiu0k1mqqvla5-dd-top_right,qfgdtpfr8gainhiu0k1mqqvla5,0,5
0,1488320580982,422,352,mousemove,//*[@id='rso']/div[2]/div/div[1],{},"{""topRight"":858,""topLeft"":443,""bottomRight"":900,""bottomLeft"":519,""middle"":598,""inTarget"":false}",0.26375,0.4372670807453416,1292.0,0.42533618292184555,0.42533618292184555,20170228232133,"Tue, 28 Feb 2017 23:21:33 +0100",Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MAARJS; rv:11.0) like Gecko,1600x900,1600x805,1583x1686,qfgdtpfr8gainhiu0k1mqqvla5-dd-top_right,qfgdtpfr8gainhiu0k1mqqvla5,0,5
0,1488320581133,482,337,mousemove,//*[@id='rso'],{},"{""topRight"":796,""topLeft"":385,""bottomRight"":852,""bottomLeft"":490,""middle"":540,""inTarget"":false}",0.30125,0.4186335403726708,151.0,0.40958002903486695,-0.015756153886978597,20170228232133,"Tue, 28 Feb 2017 23:21:33 +0100",Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MAARJS; rv:11.0) like Gecko,1600x900,1600x805,1583x1686,qfgdtpfr8gainhiu0k1mqqvla5-dd-top_right,qfgdtpfr8gainhiu0k1mqqvla5,0,5
0,1488320581285,684,260,mousemove,//*[@id='rso']/div[1]/div[2]/div/div/div/div,{},"{""topRight"":581,""topLeft"":187,""bottomRight"":723,""bottomLeft"":470,""middle"":366,""inTarget"":false}",0.4275,0.32298136645962733,152.0,1.4222247846068985,1.0126447555720315,20170228232133,"Tue, 28 Feb 2017 23:21:33 +0100",Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MAARJS; rv:11.0) like Gecko,1600x900,1600x805,1583x1686,qfgdtpfr8gainhiu0k1mqqvla5-dd-top_right,qfgdtpfr8gainhiu0k1mqqvla5,0,5
0,1488320581439,926,96,mousemove,//*[@id='slim_appbar'],{},"{""topRight"":318,""topLeft"":136,""bottomRight"":699,""bottomLeft"":637,""middle"":329,""inTarget"":false}",0.57875,0.11925465838509317,154.0,1.8982819726348061,0.47605718802790764,20170228232133,"Tue, 28 Feb 2017 23:21:33 +0100",Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MAARJS; rv:11.0) like Gecko,1600x900,1600x805,1583x1686,qfgdtpfr8gainhiu0k1mqqvla5-dd-top_right,qfgdtpfr8gainhiu0k1mqqvla5,0,5
0,1488320581590,1005,14,mousemove,//*[@id='searchform']/div/div,{},"{""topRight"":256,""topLeft"":234,""bottomRight"":743,""bottomLeft"":736,""middle"":398,""inTarget"":false}",0.628125,0.017391304347826087,151.0,0.7540659199332338,-1.1442160527015723,20170228232133,"Tue, 28 Feb 2017 23:21:33 +0100",Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MAARJS; rv:11.0) like Gecko,1600x900,1600x805,1583x1686,qfgdtpfr8gainhiu0k1mqqvla5-dd-top_right,qfgdtpfr8gainhiu0k1mqqvla5,0,5
0,1488320581923,0,0,blur,/,{},{},0.0,0.0,333.0,3.0183108339567135,2.2642449140234797,20170228232133,"Tue, 28 Feb 2017 23:21:33 +0100",Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MAARJS; rv:11.0) like Gecko,1600x900,1600x805,1583x1686,qfgdtpfr8gainhiu0k1mqqvla5-dd-top_right,qfgdtpfr8gainhiu0k1mqqvla5,0,5
0,1488320589004,0,0,focus,/,{},{},0.0,0.0,7081.0,0.0,-3.0183108339567135,20170228232133,"Tue, 28 Feb 2017 23:21:33 +0100",Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MAARJS; rv:11.0) like Gecko,1600x900,1600x805,1583x1686,qfgdtpfr8gainhiu0k1mqqvla5-dd-top_right,qfgdtpfr8gainhiu0k1mqqvla5,0,5
0,1488320589512,1133,2,mousemove,//*[@id='searchform']/div/div,{},"{""topRight"":152,""topLeft"":358,""bottomRight"":725,""bottomLeft"":794,""middle"":426,""inTarget"":false}",0.708125,0.002484472049689441,508.0,2.230318435479707,2.230318435479707,20170228232133,"Tue, 28 Feb 2017 23:21:33 +0100",Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MAARJS; rv:11.0) like Gecko,1600x900,1600x805,1583x1686,qfgdtpfr8gainhiu0k1mqqvla5-dd-top_right,qfgdtpfr8gainhiu0k1mqqvla5,0,5
