cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,xpos_scaled,ypos_scaled,timestamp_diff,speed,acceleration,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1538403601895,0,0,load,/,{},{},0.0,0.0,1.0,0.0,0.0,20181001161704,"Mon, 01 Oct 2018 16:17:04 +0200","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1549,8idnggji4b4d3j1q5oao82fq67-dd-top_right,8idnggji4b4d3j1q5oao82fq67,0,4
0,1538403608452,212,135,mousemove,//*[@id='rso']/div[1]/div/div/h3/a,{},"{""topRight"":1032,""topLeft"":579,""bottomRight"":1056,""bottomLeft"":620,""middle"":811,""inTarget"":false}",0.15519765739385066,0.2054794520547945,6557.0,0.03833070589408659,0.03833070589408659,20181001161704,"Mon, 01 Oct 2018 16:17:04 +0200","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1549,8idnggji4b4d3j1q5oao82fq67-dd-top_right,8idnggji4b4d3j1q5oao82fq67,0,4
0,1538403608718,214,134,mousemove,//*[@id='rso']/div[1]/div/div/h3/a,{},"{""topRight"":1030,""topLeft"":577,""bottomRight"":1055,""bottomLeft"":619,""middle"":809,""inTarget"":false}",0.15666178623718888,0.2039573820395738,266.0,0.008406270592104473,-0.029924435301982116,20181001161704,"Mon, 01 Oct 2018 16:17:04 +0200","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1549,8idnggji4b4d3j1q5oao82fq67-dd-top_right,8idnggji4b4d3j1q5oao82fq67,0,4
0,1538403611230,225,134,mousemove,//*[@id='rso']/div[1]/div/div/h3/a,{},"{""topRight"":1019,""topLeft"":566,""bottomRight"":1044,""bottomLeft"":609,""middle"":798,""inTarget"":false}",0.16471449487554904,0.2039573820395738,2512.0,0.004378980891719745,-0.004027289700384728,20181001161704,"Mon, 01 Oct 2018 16:17:04 +0200","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1549,8idnggji4b4d3j1q5oao82fq67-dd-top_right,8idnggji4b4d3j1q5oao82fq67,0,4
0,1538403611386,522,134,mousemove,//*[@id='rso']/div[1]/div/div/h3,{},"{""topRight"":723,""topLeft"":269,""bottomRight"":757,""bottomLeft"":351,""middle"":505,""inTarget"":false}",0.3821376281112738,0.2039573820395738,156.0,1.9038461538461537,1.899467172954434,20181001161704,"Mon, 01 Oct 2018 16:17:04 +0200","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1549,8idnggji4b4d3j1q5oao82fq67-dd-top_right,8idnggji4b4d3j1q5oao82fq67,0,4
0,1538403611630,526,135,mousemove,//*[@id='rso']/div[1]/div/div/h3,{},"{""topRight"":719,""topLeft"":266,""bottomRight"":752,""bottomLeft"":347,""middle"":501,""inTarget"":false}",0.3850658857979502,0.2054794520547945,244.0,0.016897973875482215,-1.8869481799706715,20181001161704,"Mon, 01 Oct 2018 16:17:04 +0200","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1549,8idnggji4b4d3j1q5oao82fq67-dd-top_right,8idnggji4b4d3j1q5oao82fq67,0,4
0,1538403611781,499,126,mousemove,//*[@id='rso']/div[1]/div/div/h3,{},"{""topRight"":745,""topLeft"":292,""bottomRight"":781,""bottomLeft"":373,""middle"":529,""inTarget"":false}",0.36530014641288433,0.1917808219178082,151.0,0.18848012544049944,0.17158215156501722,20181001161704,"Mon, 01 Oct 2018 16:17:04 +0200","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1549,8idnggji4b4d3j1q5oao82fq67-dd-top_right,8idnggji4b4d3j1q5oao82fq67,0,4
0,1538403611932,368,25,mouseover,//*[@id='lst-ib'],{},"{""topRight"":880,""topLeft"":430,""bottomRight"":938,""bottomLeft"":539,""middle"":682,""inTarget"":false}",0.26939970717423134,0.0380517503805175,151.0,1.095461129470339,0.9069810040298395,20181001161704,"Mon, 01 Oct 2018 16:17:04 +0200","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1549,8idnggji4b4d3j1q5oao82fq67-dd-top_right,8idnggji4b4d3j1q5oao82fq67,0,4
0,1538403612185,0,0,blur,/,{},{},0.0,0.0,253.0,1.4578980524168756,0.36243692294653673,20181001161704,"Mon, 01 Oct 2018 16:17:04 +0200","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1549,8idnggji4b4d3j1q5oao82fq67-dd-top_right,8idnggji4b4d3j1q5oao82fq67,0,4
