cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,xpos_scaled,ypos_scaled,timestamp_diff,speed,acceleration,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1483038537978,0,0,load,/,{},{},0.0,0.0,1.0,0.0,0.0,20161229200729,"Thu, 29 Dec 2016 20:07:29 +0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1083x930,1070x1427,g5hlgdqnors62tatd9ls3gcr37-dd-top_right,g5hlgdqnors62tatd9ls3gcr37,1,5
0,1483038582124,0,0,focus,/,{},{},0.0,0.0,44146.0,0.0,0.0,20161229200729,"Thu, 29 Dec 2016 20:07:29 +0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1083x930,1070x1427,g5hlgdqnors62tatd9ls3gcr37-dd-top_right,g5hlgdqnors62tatd9ls3gcr37,1,5
0,1483038583851,690,7,mouseover,//*[@id='tsf']/div[2]/div[2],{},"{""topRight"":391,""topLeft"":141,""bottomRight"":454,""bottomLeft"":271,""middle"":297,""inTarget"":false}",0.6371191135734072,0.007526881720430108,1727.0,0.39955732850771647,0.39955732850771647,20161229200729,"Thu, 29 Dec 2016 20:07:29 +0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1083x930,1070x1427,g5hlgdqnors62tatd9ls3gcr37-dd-top_right,g5hlgdqnors62tatd9ls3gcr37,1,5
0,1483038584098,764,73,mousemove,//*[@id='slim_appbar'],{},"{""topRight"":306,""topLeft"":42,""bottomRight"":356,""bottomLeft"":188,""middle"":198,""inTarget"":false}",0.7054478301015698,0.07849462365591398,247.0,0.40144308522236566,0.0018857567146491894,20161229200729,"Thu, 29 Dec 2016 20:07:29 +0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1083x930,1070x1427,g5hlgdqnors62tatd9ls3gcr37-dd-top_right,g5hlgdqnors62tatd9ls3gcr37,1,5
0,1483038584963,690,11,mouseover,//*[@id='sfdiv'],{},"{""topRight"":390,""topLeft"":138,""bottomRight"":452,""bottomLeft"":267,""middle"":294,""inTarget"":false}",0.6371191135734072,0.011827956989247311,865.0,0.11160710646147673,-0.28983597876088896,20161229200729,"Thu, 29 Dec 2016 20:07:29 +0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1083x930,1070x1427,g5hlgdqnors62tatd9ls3gcr37-dd-top_right,g5hlgdqnors62tatd9ls3gcr37,1,5
0,1483038585114,924,161,mousemove,//*[@id='rhs_block']/div/div/div[4]/div/table/tbody/tr/td[2]/div/div[1]/a/b,{},"{""topRight"":154,""topLeft"":145,""bottomRight"":174,""bottomLeft"":166,""middle"":22,""inTarget"":true}",0.853185595567867,0.17311827956989248,151.0,1.8407260644080214,1.7291189579465447,20161229200729,"Thu, 29 Dec 2016 20:07:29 +0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1083x930,1070x1427,g5hlgdqnors62tatd9ls3gcr37-dd-top_right,g5hlgdqnors62tatd9ls3gcr37,1,5
0,1483038585283,931,170,mousemove,//*[@id='rhs_block']/div/div/div[4]/div/table/tbody/tr/td[2]/div/div[1]/a,{},"{""topRight"":151,""topLeft"":155,""bottomRight"":163,""bottomLeft"":167,""middle"":13,""inTarget"":true}",0.8596491228070176,0.1827956989247312,169.0,0.0674660014851561,-1.7732600629228654,20161229200729,"Thu, 29 Dec 2016 20:07:29 +0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1083x930,1070x1427,g5hlgdqnors62tatd9ls3gcr37-dd-top_right,g5hlgdqnors62tatd9ls3gcr37,1,5
0,1483038585434,739,190,mouseover,//*[@id='res'],{},"{""topRight"":340,""topLeft"":98,""bottomRight"":336,""bottomLeft"":86,""middle"":190,""inTarget"":false}",0.6823638042474608,0.20430107526881722,151.0,1.2784030211405197,1.2109370196553637,20161229200729,"Thu, 29 Dec 2016 20:07:29 +0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1083x930,1070x1427,g5hlgdqnors62tatd9ls3gcr37-dd-top_right,g5hlgdqnors62tatd9ls3gcr37,1,5
0,1483038585587,459,138,mousemove,//*[@id='rso']/div/div[1]/div/div/div/div[1],{},"{""topRight"":610,""topLeft"":333,""bottomRight"":621,""bottomLeft"":352,""middle"":472,""inTarget"":false}",0.42382271468144045,0.14838709677419354,153.0,1.8613571253675882,0.5829541042270685,20161229200729,"Thu, 29 Dec 2016 20:07:29 +0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1083x930,1070x1427,g5hlgdqnors62tatd9ls3gcr37-dd-top_right,g5hlgdqnors62tatd9ls3gcr37,1,5
0,1483038585738,354,134,mousemove,//*[@id='rso']/div/div[1]/div/div/div/div[1]/cite/b[3],{},"{""topRight"":715,""topLeft"":437,""bottomRight"":725,""bottomLeft"":454,""middle"":577,""inTarget"":false}",0.3268698060941828,0.14408602150537633,151.0,0.6958686281683935,-1.1654884971991948,20161229200729,"Thu, 29 Dec 2016 20:07:29 +0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1083x930,1070x1427,g5hlgdqnors62tatd9ls3gcr37-dd-top_right,g5hlgdqnors62tatd9ls3gcr37,1,5
0,1483038585898,345,131,mousemove,//*[@id='rso']/div/div[1]/div/h3/a,{},"{""topRight"":723,""topLeft"":446,""bottomRight"":734,""bottomLeft"":463,""middle"":586,""inTarget"":false}",0.3185595567867036,0.14086021505376345,160.0,0.05929270612815711,-0.6365759220402364,20161229200729,"Thu, 29 Dec 2016 20:07:29 +0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1083x930,1070x1427,g5hlgdqnors62tatd9ls3gcr37-dd-top_right,g5hlgdqnors62tatd9ls3gcr37,1,5
