cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,xpos_scaled,ypos_scaled,timestamp_diff,speed,acceleration,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1538401070955,0,0,load,/,{},{},0.0,0.0,1.0,0.0,0.0,20181001153506,"Mon, 01 Oct 2018 15:35:06 +0200","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1440x900,1440x789,1423x1611,6a4rb2tvlt8qh46v299hj6sq04-dd-top_right,6a4rb2tvlt8qh46v299hj6sq04,0,2
0,1538401072434,187,407,mousemove,//*[@id='rso']/div[1]/div/div[3]/div/div/div/div[1]/cite,{},"{""topRight"":1121,""topLeft"":691,""bottomRight"":1087,""bottomLeft"":633,""middle"":873,""inTarget"":false}",0.12986111111111112,0.5158428390367554,1479.0,0.3028424662427663,0.3028424662427663,20181001153506,"Mon, 01 Oct 2018 15:35:06 +0200","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1440x900,1440x789,1423x1611,6a4rb2tvlt8qh46v299hj6sq04-dd-top_right,6a4rb2tvlt8qh46v299hj6sq04,0,2
0,1538401072584,147,407,mouseover,//*[@id='rhscol'],{},"{""topRight"":1160,""topLeft"":727,""bottomRight"":1127,""bottomLeft"":673,""middle"":912,""inTarget"":false}",0.10208333333333333,0.5158428390367554,150.0,0.26666666666666666,-0.03617579957609962,20181001153506,"Mon, 01 Oct 2018 15:35:06 +0200","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1440x900,1440x789,1423x1611,6a4rb2tvlt8qh46v299hj6sq04-dd-top_right,6a4rb2tvlt8qh46v299hj6sq04,0,2
0,1538401072734,93,384,mousemove,//*[@id='rhscol'],{},"{""topRight"":1208,""topLeft"":770,""bottomRight"":1181,""bottomLeft"":727,""middle"":962,""inTarget"":false}",0.06458333333333334,0.4866920152091255,150.0,0.3912941490887784,0.12462748242211175,20181001153506,"Mon, 01 Oct 2018 15:35:06 +0200","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1440x900,1440x789,1423x1611,6a4rb2tvlt8qh46v299hj6sq04-dd-top_right,6a4rb2tvlt8qh46v299hj6sq04,0,2
0,1538401072950,71,370,mousemove,//*[@id='rhscol'],{},"{""topRight"":1227,""topLeft"":786,""bottomRight"":1203,""bottomLeft"":749,""middle"":982,""inTarget"":false}",0.049305555555555554,0.46894803548795944,216.0,0.12072597046671572,-0.27056817862206267,20181001153506,"Mon, 01 Oct 2018 15:35:06 +0200","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1440x900,1440x789,1423x1611,6a4rb2tvlt8qh46v299hj6sq04-dd-top_right,6a4rb2tvlt8qh46v299hj6sq04,0,2
0,1538401073118,70,368,mousemove,//*[@id='rhscol'],{},"{""topRight"":1227,""topLeft"":787,""bottomRight"":1204,""bottomLeft"":750,""middle"":983,""inTarget"":false}",0.04861111111111111,0.4664131812420786,168.0,0.01330992843749875,-0.10741604202921698,20181001153506,"Mon, 01 Oct 2018 15:35:06 +0200","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1440x900,1440x789,1423x1611,6a4rb2tvlt8qh46v299hj6sq04-dd-top_right,6a4rb2tvlt8qh46v299hj6sq04,0,2
0,1538401073683,71,368,mousemove,//*[@id='rhscol'],{},"{""topRight"":1226,""topLeft"":786,""bottomRight"":1203,""bottomLeft"":749,""middle"":982,""inTarget"":false}",0.049305555555555554,0.4664131812420786,565.0,0.0017699115044247787,-0.01154001693307397,20181001153506,"Mon, 01 Oct 2018 15:35:06 +0200","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1440x900,1440x789,1423x1611,6a4rb2tvlt8qh46v299hj6sq04-dd-top_right,6a4rb2tvlt8qh46v299hj6sq04,0,2
0,1538401073868,74,368,mousemove,//*[@id='rhscol'],{},"{""topRight"":1223,""topLeft"":783,""bottomRight"":1200,""bottomLeft"":746,""middle"":979,""inTarget"":false}",0.05138888888888889,0.4664131812420786,185.0,0.016216216216216217,0.014446304711791438,20181001153506,"Mon, 01 Oct 2018 15:35:06 +0200","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1440x900,1440x789,1423x1611,6a4rb2tvlt8qh46v299hj6sq04-dd-top_right,6a4rb2tvlt8qh46v299hj6sq04,0,2
0,1538401074184,76,363,mousemove,//*[@id='rhscol'],{},"{""topRight"":1220,""topLeft"":779,""bottomRight"":1198,""bottomLeft"":744,""middle"":977,""inTarget"":false}",0.05277777777777778,0.4600760456273764,316.0,0.017041660782071213,0.0008254445658549964,20181001153506,"Mon, 01 Oct 2018 15:35:06 +0200","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1440x900,1440x789,1423x1611,6a4rb2tvlt8qh46v299hj6sq04-dd-top_right,6a4rb2tvlt8qh46v299hj6sq04,0,2
0,1538401077817,76,364,mousemove,//*[@id='rhscol'],{},"{""topRight"":1220,""topLeft"":780,""bottomRight"":1198,""bottomLeft"":744,""middle"":977,""inTarget"":false}",0.05277777777777778,0.46134347275031684,3633.0,0.0002752546105147261,-0.01676640617155649,20181001153506,"Mon, 01 Oct 2018 15:35:06 +0200","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1440x900,1440x789,1423x1611,6a4rb2tvlt8qh46v299hj6sq04-dd-top_right,6a4rb2tvlt8qh46v299hj6sq04,0,2
