cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,xpos_scaled,ypos_scaled,timestamp_diff,speed,acceleration,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1487025668618,0,0,load,/,{},{},0.0,0.0,1.0,0.0,0.0,20170213233924,"Mon, 13 Feb 2017 23:39:24 +0100","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x638,1349x1992,7snm62aspg59fpon4s6e1707v3-dd-top_left,7snm62aspg59fpon4s6e1707v3,0,2
0,1487025670064,0,0,blur,/,{},{},0.0,0.0,1446.0,0.0,0.0,20170213233924,"Mon, 13 Feb 2017 23:39:24 +0100","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x638,1349x1992,7snm62aspg59fpon4s6e1707v3-dd-top_left,7snm62aspg59fpon4s6e1707v3,0,2
0,1487025680629,0,0,focus,/,{},{},0.0,0.0,10565.0,0.0,0.0,20170213233924,"Mon, 13 Feb 2017 23:39:24 +0100","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x638,1349x1992,7snm62aspg59fpon4s6e1707v3-dd-top_left,7snm62aspg59fpon4s6e1707v3,0,2
0,1487025686658,531,0,mouseover,//*[@id='searchform']/div/div,{},"{""topRight"":238,""topLeft"":417,""bottomRight"":386,""bottomLeft"":516,""middle"":234,""inTarget"":false}",0.38872620790629575,0.0,6029.0,0.08807430751368386,0.08807430751368386,20170213233924,"Mon, 13 Feb 2017 23:39:24 +0100","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x638,1349x1992,7snm62aspg59fpon4s6e1707v3-dd-top_left,7snm62aspg59fpon4s6e1707v3,0,2
0,1487025686821,538,22,mousemove,//*[@id='lst-ib'],{},"{""topRight"":222,""topLeft"":419,""bottomRight"":364,""bottomLeft"":508,""middle"":217,""inTarget"":false}",0.3938506588579795,0.034482758620689655,163.0,0.14163676540632142,0.053562457892637555,20170213233924,"Mon, 13 Feb 2017 23:39:24 +0100","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x638,1349x1992,7snm62aspg59fpon4s6e1707v3-dd-top_left,7snm62aspg59fpon4s6e1707v3,0,2
0,1487025687294,538,24,mousemove,//*[@id='lst-ib'],{},"{""topRight"":222,""topLeft"":418,""bottomRight"":362,""bottomLeft"":507,""middle"":216,""inTarget"":false}",0.3938506588579795,0.03761755485893417,473.0,0.004228329809725159,-0.13740843559659627,20170213233924,"Mon, 13 Feb 2017 23:39:24 +0100","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x638,1349x1992,7snm62aspg59fpon4s6e1707v3-dd-top_left,7snm62aspg59fpon4s6e1707v3,0,2
0,1487025687624,537,24,mousemove,//*[@id='lst-ib'],{},"{""topRight"":223,""topLeft"":417,""bottomRight"":363,""bottomLeft"":506,""middle"":215,""inTarget"":false}",0.3931185944363104,0.03761755485893417,330.0,0.0030303030303030303,-0.0011980267794221284,20170213233924,"Mon, 13 Feb 2017 23:39:24 +0100","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x638,1349x1992,7snm62aspg59fpon4s6e1707v3-dd-top_left,7snm62aspg59fpon4s6e1707v3,0,2
0,1487025688460,0,0,blur,/,{},{},0.0,0.0,836.0,0.6429857001232182,0.6399553970929152,20170213233924,"Mon, 13 Feb 2017 23:39:24 +0100","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x638,1349x1992,7snm62aspg59fpon4s6e1707v3-dd-top_left,7snm62aspg59fpon4s6e1707v3,0,2
0,1487025707102,0,0,focus,/,{},{},0.0,0.0,18642.0,0.0,-0.6429857001232182,20170213233924,"Mon, 13 Feb 2017 23:39:24 +0100","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x638,1349x1992,7snm62aspg59fpon4s6e1707v3-dd-top_left,7snm62aspg59fpon4s6e1707v3,0,2
0,1487025710468,0,0,beforeunload,/,{},{},0.0,0.0,3366.0,0.0,0.0,20170213233924,"Mon, 13 Feb 2017 23:39:24 +0100","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x638,1349x1992,7snm62aspg59fpon4s6e1707v3-dd-top_left,7snm62aspg59fpon4s6e1707v3,0,2
0,1487025710469,0,0,unload,/,{},{},0.0,0.0,1.0,0.0,0.0,20170213233924,"Mon, 13 Feb 2017 23:39:24 +0100","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366x768,1366x638,1349x1992,7snm62aspg59fpon4s6e1707v3-dd-top_left,7snm62aspg59fpon4s6e1707v3,0,2
