cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,xpos_scaled,ypos_scaled,timestamp_diff,speed,acceleration,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1538402431574,644,1069,mousemove,//*[@id='rso']/div[4]/div/g-section-with-header/g-card-grid/ul,{},"{""topRight"":958,""topLeft"":1065,""bottomRight"":569,""bottomLeft"":736,""middle"":763,""inTarget"":false}",0.503125,1.7640264026402641,198.0,0.09489037488917139,0.08996426651478716,20181001155716,"Mon, 01 Oct 2018 15:57:16 +0200",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0,1280x720,1280x606,1263x2408,halrba0hk5lubum7408j0banu0-native-top_left,halrba0hk5lubum7408j0banu0,0,5
0,1538402431740,644,1067,mousemove,//*[@id='rso']/div[4]/div/g-section-with-header/g-card-grid/ul,{},"{""topRight"":956,""topLeft"":1064,""bottomRight"":567,""bottomLeft"":734,""middle"":761,""inTarget"":false}",0.503125,1.7607260726072607,166.0,0.012048192771084338,-0.08284218211808705,20181001155716,"Mon, 01 Oct 2018 15:57:16 +0200",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0,1280x720,1280x606,1263x2408,halrba0hk5lubum7408j0banu0-native-top_left,halrba0hk5lubum7408j0banu0,0,5
0,1538402431906,0,662,scroll,/,{},{},0.0,1.0924092409240924,166.0,4.582912243068516,4.570864050297431,20181001155716,"Mon, 01 Oct 2018 15:57:16 +0200",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0,1280x720,1280x606,1263x2408,halrba0hk5lubum7408j0banu0-native-top_left,halrba0hk5lubum7408j0banu0,0,5
0,1538402432071,0,275,scroll,/,{},{},0.0,0.4537953795379538,165.0,2.3454545454545452,-2.2374576976139706,20181001155716,"Mon, 01 Oct 2018 15:57:16 +0200",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0,1280x720,1280x606,1263x2408,halrba0hk5lubum7408j0banu0-native-top_left,halrba0hk5lubum7408j0banu0,0,5
0,1538402432242,643,550,mouseover,//*[@id='rso']/div[2]/div/div/div/h3,{},"{""topRight"":456,""topLeft"":651,""bottomRight"":167,""bottomLeft"":494,""middle"":279,""inTarget"":false}",0.50234375,0.9075907590759076,171.0,4.089697418957288,1.7442428735027424,20181001155716,"Mon, 01 Oct 2018 15:57:16 +0200",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0,1280x720,1280x606,1263x2408,halrba0hk5lubum7408j0banu0-native-top_left,halrba0hk5lubum7408j0banu0,0,5
0,1538402432406,643,534,mousemove,//*[@id='rso']/div[2]/div/div/div/h3,{},"{""topRight"":441,""topLeft"":641,""bottomRight"":165,""bottomLeft"":493,""middle"":266,""inTarget"":false}",0.50234375,0.8811881188118812,164.0,0.0975609756097561,-3.9921364433475315,20181001155716,"Mon, 01 Oct 2018 15:57:16 +0200",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0,1280x720,1280x606,1263x2408,halrba0hk5lubum7408j0banu0-native-top_left,halrba0hk5lubum7408j0banu0,0,5
0,1538402432724,641,527,mousemove,//*[@id='center_col'],{},"{""topRight"":435,""topLeft"":635,""bottomRight"":167,""bottomLeft"":491,""middle"":259,""inTarget"":false}",0.50078125,0.8696369636963697,318.0,0.022893427324781505,-0.0746675482849746,20181001155716,"Mon, 01 Oct 2018 15:57:16 +0200",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0,1280x720,1280x606,1263x2408,halrba0hk5lubum7408j0banu0-native-top_left,halrba0hk5lubum7408j0banu0,0,5
0,1538402433004,0,168,scroll,/,{},{},0.0,0.27722772277227725,280.0,2.6238748803544545,2.600981453029673,20181001155716,"Mon, 01 Oct 2018 15:57:16 +0200",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0,1280x720,1280x606,1263x2408,halrba0hk5lubum7408j0banu0-native-top_left,halrba0hk5lubum7408j0banu0,0,5
0,1538402433155,0,119,scroll,/,{},{},0.0,0.19636963696369636,151.0,0.32450331125827814,-2.2993715690961762,20181001155716,"Mon, 01 Oct 2018 15:57:16 +0200",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0,1280x720,1280x606,1263x2408,halrba0hk5lubum7408j0banu0-native-top_left,halrba0hk5lubum7408j0banu0,0,5
0,1538402433305,0,75,scroll,/,{},{},0.0,0.12376237623762376,150.0,0.29333333333333333,-0.031169977924944803,20181001155716,"Mon, 01 Oct 2018 15:57:16 +0200",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0,1280x720,1280x606,1263x2408,halrba0hk5lubum7408j0banu0-native-top_left,halrba0hk5lubum7408j0banu0,0,5
0,1538402433556,640,424,mousemove,//*[@id='tads']/ol/li/ul,{},"{""topRight"":343,""topLeft"":574,""bottomRight"":196,""bottomLeft"":500,""middle"":189,""inTarget"":true}",0.5,0.6996699669966997,251.0,2.9042731659023744,2.610939832569041,20181001155716,"Mon, 01 Oct 2018 15:57:16 +0200",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0,1280x720,1280x606,1263x2408,halrba0hk5lubum7408j0banu0-native-top_left,halrba0hk5lubum7408j0banu0,0,5
0,1538402433791,634,410,mousemove,//*[@id='tads']/ol/li/ul,{},"{""topRight"":334,""topLeft"":562,""bottomRight"":208,""bottomLeft"":497,""middle"":177,""inTarget"":true}",0.4953125,0.6765676567656765,235.0,0.06481509026267156,-2.839458075639703,20181001155716,"Mon, 01 Oct 2018 15:57:16 +0200",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0,1280x720,1280x606,1263x2408,halrba0hk5lubum7408j0banu0-native-top_left,halrba0hk5lubum7408j0banu0,0,5
