cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,xpos_scaled,ypos_scaled,timestamp_diff,speed,acceleration,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1526053874951,0,0,load,/,{},{},0.0,0.0,1.0,0.0,0.0,20180511174907,"Fri, 11 May 2018 17:49:07 +0200","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8",1440x900,1436x735,1421x1862,tjpe10p9g8hj7r2semlldcrim3-native-top_left,tjpe10p9g8hj7r2semlldcrim3,0,5
0,1526053878734,0,0,scroll,/,{},{},0.0,0.0,3783.0,0.0,0.0,20180511174907,"Fri, 11 May 2018 17:49:07 +0200","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8",1440x900,1436x735,1421x1862,tjpe10p9g8hj7r2semlldcrim3-native-top_left,tjpe10p9g8hj7r2semlldcrim3,0,5
0,1526053878884,0,0,scroll,/,{},{},0.0,0.0,150.0,0.0,0.0,20180511174907,"Fri, 11 May 2018 17:49:07 +0200","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8",1440x900,1436x735,1421x1862,tjpe10p9g8hj7r2semlldcrim3-native-top_left,tjpe10p9g8hj7r2semlldcrim3,0,5
0,1526053879855,0,0,scroll,/,{},{},0.0,0.0,971.0,0.0,0.0,20180511174907,"Fri, 11 May 2018 17:49:07 +0200","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8",1440x900,1436x735,1421x1862,tjpe10p9g8hj7r2semlldcrim3-native-top_left,tjpe10p9g8hj7r2semlldcrim3,0,5
0,1526053880007,0,0,scroll,/,{},{},0.0,0.0,152.0,0.0,0.0,20180511174907,"Fri, 11 May 2018 17:49:07 +0200","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8",1440x900,1436x735,1421x1862,tjpe10p9g8hj7r2semlldcrim3-native-top_left,tjpe10p9g8hj7r2semlldcrim3,0,5
0,1526053880351,0,0,scroll,/,{},{},0.0,0.0,344.0,0.0,0.0,20180511174907,"Fri, 11 May 2018 17:49:07 +0200","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8",1440x900,1436x735,1421x1862,tjpe10p9g8hj7r2semlldcrim3-native-top_left,tjpe10p9g8hj7r2semlldcrim3,0,5
0,1526053880502,0,0,scroll,/,{},{},0.0,0.0,151.0,0.0,0.0,20180511174907,"Fri, 11 May 2018 17:49:07 +0200","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8",1440x900,1436x735,1421x1862,tjpe10p9g8hj7r2semlldcrim3-native-top_left,tjpe10p9g8hj7r2semlldcrim3,0,5
0,1526053880655,0,0,scroll,/,{},{},0.0,0.0,153.0,0.0,0.0,20180511174907,"Fri, 11 May 2018 17:49:07 +0200","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8",1440x900,1436x735,1421x1862,tjpe10p9g8hj7r2semlldcrim3-native-top_left,tjpe10p9g8hj7r2semlldcrim3,0,5
0,1526053880809,0,0,scroll,/,{},{},0.0,0.0,154.0,0.0,0.0,20180511174907,"Fri, 11 May 2018 17:49:07 +0200","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8",1440x900,1436x735,1421x1862,tjpe10p9g8hj7r2semlldcrim3-native-top_left,tjpe10p9g8hj7r2semlldcrim3,0,5
0,1526053880973,0,0,scroll,/,{},{},0.0,0.0,164.0,0.0,0.0,20180511174907,"Fri, 11 May 2018 17:49:07 +0200","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8",1440x900,1436x735,1421x1862,tjpe10p9g8hj7r2semlldcrim3-native-top_left,tjpe10p9g8hj7r2semlldcrim3,0,5
